"","sample_name","new_phenotype"
"139","AZ-ARHI-Plaat4-0374",0
"140","AZ-ARHI-Plaat4-0377",0
"141","AZ-ARHI-Plaat4-0378",0
"142","AZ-ARHI-Plaat4-0380",0
"143","AZ-ARHI-Plaat4-0381",0
"144","AZ-ARHI-Plaat4-0382",0
"145","AZ-ARHI-Plaat4-0383",0
"146","AZ-ARHI-Plaat4-0384",0
"147","AZ-ARHI-Plaat4-0385",0
"148","AZ-ARHI-Plaat4-0386",0
"149","AZ-ARHI-Plaat4-0387",0
"150","AZ-ARHI-Plaat4-0388",0
"151","AZ-ARHI-Plaat4-0389",0
"152","AZ-ARHI-Plaat4-0390",0
"153","AZ-ARHI-Plaat4-0391",0
"154","AZ-ARHI-Plaat4-0392",0
"155","AZ-ARHI-Plaat4-0393",0
"156","AZ-ARHI-Plaat4-0394",0
"157","AZ-ARHI-Plaat4-0395",0
"158","AZ-ARHI-Plaat4-0396",0
"159","AZ-ARHI-Plaat4-0397",0
"160","AZ-ARHI-Plaat4-0398",0
"161","AZ-ARHI-Plaat4-0399",0
"162","AZ-ARHI-Plaat4-0402",0
"163","AZ-ARHI-Plaat4-0403",0
"164","AZ-ARHI-Plaat4-0404",0
"165","AZ-ARHI-Plaat4-0405",0
"166","AZ-ARHI-Plaat4-0406",0
"167","AZ-ARHI-Plaat4-0407",0
"168","AZ-ARHI-Plaat4-0408",0
"169","AZ-ARHI-Plaat4-0409",0
"170","AZ-ARHI-Plaat4-0410",0
"171","AZ-ARHI-Plaat4-0412",0
"172","AZ-ARHI-Plaat4-0413",0
"173","AZ-ARHI-Plaat4-0414",0
"174","AZ-ARHI-Plaat4-0415",0
"175","AZ-ARHI-Plaat4-0416",0
"176","AZ-ARHI-Plaat4-0417",0
"177","AZ-ARHI-Plaat4-0418",0
"178","AZ-ARHI-Plaat4-0419",0
"179","AZ-ARHI-Plaat4-0420",0
"180","AZ-ARHI-Plaat4-0422",0
"181","AZ_ARHI_Plaat_1_AZ_0001",0
"182","AZ_ARHI_Plaat_1_AZ_0002",0
"183","AZ_ARHI_Plaat_1_AZ_0004",0
"184","AZ_ARHI_Plaat_1_AZ_0005",0
"185","AZ_ARHI_Plaat_1_AZ_0006",0
"186","AZ_ARHI_Plaat_1_AZ_0008",0
"187","AZ_ARHI_Plaat_1_AZ_0009",0
"188","AZ_ARHI_Plaat_1_AZ_0010",0
"189","AZ_ARHI_Plaat_1_AZ_0011",0
"190","AZ_ARHI_Plaat_1_AZ_0012",0
"191","AZ_ARHI_Plaat_1_AZ_0013",0
"192","AZ_ARHI_Plaat_1_AZ_0014",0
"193","AZ_ARHI_Plaat_1_AZ_0015",0
"194","AZ_ARHI_Plaat_1_AZ_0016",0
"195","AZ_ARHI_Plaat_1_AZ_0017",0
"196","AZ_ARHI_Plaat_1_AZ_0018",0
"197","AZ_ARHI_Plaat_1_AZ_0019",0
"198","AZ_ARHI_Plaat_1_AZ_0020",0
"199","AZ_ARHI_Plaat_1_AZ_0021",0
"200","AZ_ARHI_Plaat_1_AZ_0022",0
"201","AZ_ARHI_Plaat_1_AZ_0023",0
"202","AZ_ARHI_Plaat_1_AZ_0024",0
"203","AZ_ARHI_Plaat_1_AZ_0026",0
"204","AZ_ARHI_Plaat_1_AZ_0027",0
"205","AZ_ARHI_Plaat_1_AZ_0028",0
"206","AZ_ARHI_Plaat_1_AZ_0029",0
"207","AZ_ARHI_Plaat_1_AZ_0030",0
"208","AZ_ARHI_Plaat_1_AZ_0031",0
"209","AZ_ARHI_Plaat_1_AZ_0032",0
"210","AZ_ARHI_Plaat_1_AZ_0033",0
"211","AZ_ARHI_Plaat_1_AZ_0034",0
"212","AZ_ARHI_Plaat_1_AZ_0035",0
"213","AZ_ARHI_Plaat_1_AZ_0036",0
"214","AZ_ARHI_Plaat_1_AZ_0038",0
"215","AZ_ARHI_Plaat_1_AZ_0039",0
"216","AZ_ARHI_Plaat_1_AZ_0040",0
"217","AZ_ARHI_Plaat_1_AZ_0042",0
"218","AZ_ARHI_Plaat_1_AZ_0043",0
"219","AZ_ARHI_Plaat_1_AZ_0044",0
"220","AZ_ARHI_Plaat_1_AZ_0045",0
"221","AZ_ARHI_Plaat_1_AZ_0046",0
"222","AZ_ARHI_Plaat_1_AZ_0047",0
"223","AZ_ARHI_Plaat_1_AZ_0049",0
"224","AZ_ARHI_Plaat_1_AZ_0050",0
"225","AZ_ARHI_Plaat_1_AZ_0051",0
"226","AZ_ARHI_Plaat_1_AZ_0052",0
"227","AZ_ARHI_Plaat_1_AZ_0053",0
"228","AZ_ARHI_Plaat_1_AZ_0054",0
"229","AZ_ARHI_Plaat_1_AZ_0055",0
"230","AZ_ARHI_Plaat_1_AZ_0056",0
"231","AZ_ARHI_Plaat_1_AZ_0057",0
"232","AZ_ARHI_Plaat_1_AZ_0058",0
"233","AZ_ARHI_Plaat_1_AZ_0059",0
"234","AZ_ARHI_Plaat_1_AZ_0060",0
